PLAYER_ID,PLAYER_NAME,Pos,Age,GP,MIN,FG_PCT,FG3_PCT,FT_PCT,OREB,DREB,AST,TOV,STL,BLK,PTS,PLUS_MINUS,WS/48,BPM,VORP,PER,SALARY
1630639,A.J. Lawson,SG,0.2,0.494,0.187,0.597,0.26,0.652,0.065,0.089,0.046,0.068,0.095,0.028,0.092,0.62,0.497,0.336,0.122,0.412,1000000
1631100,AJ Griffin,SF,0.05,0.229,0.217,0.388,0.256,1.0,0.022,0.079,0.028,0.091,0.048,0.028,0.069,0.481,0.372,0.266,0.114,0.28,3712920
203932,Aaron Gordon,PF,0.45,0.867,0.832,0.744,0.29,0.658,0.522,0.406,0.321,0.318,0.381,0.167,0.401,0.87,0.586,0.417,0.293,0.487,22266182
1628988,Aaron Holiday,PG,0.4,0.928,0.425,0.597,0.387,0.921,0.065,0.129,0.165,0.159,0.238,0.028,0.19,0.653,0.543,0.379,0.154,0.416,2019706
1630174,Aaron Nesmith,SF,0.25,0.855,0.73,0.664,0.419,0.781,0.196,0.287,0.138,0.205,0.429,0.194,0.352,0.704,0.546,0.393,0.203,0.434,5634257
1630598,Aaron Wiggins,SG,0.3,0.928,0.409,0.752,0.492,0.789,0.174,0.158,0.101,0.159,0.333,0.056,0.199,0.657,0.583,0.409,0.203,0.471,1836096
1641745,Adam Flagler,SG,0.25,0.012,0.176,0.191,0.167,0.0,0.0,0.0,0.183,0.0,0.0,0.0,0.043,0.602,0.341,0.252,0.138,0.272,
1641766,Adama Sanogo,PF,0.1,0.096,0.184,0.695,0.0,0.667,0.457,0.188,0.0,0.136,0.048,0.0,0.115,0.778,0.574,0.307,0.13,0.554,
1629678,Admiral Schofield,PF,0.35,0.265,0.088,0.515,0.375,0.0,0.022,0.059,0.028,0.045,0.0,0.0,0.032,0.574,0.473,0.331,0.13,0.344,
201143,Al Horford,C,0.9,0.771,0.706,0.684,0.419,0.867,0.283,0.505,0.239,0.159,0.286,0.278,0.248,0.903,0.606,0.449,0.341,0.463,10000000
202692,Alec Burks,SG,0.65,0.783,0.481,0.494,0.376,0.868,0.087,0.188,0.119,0.159,0.19,0.056,0.3,0.421,0.511,0.368,0.13,0.435,10489600
1630197,Aleksej Pokusevski,PF,0.15,0.325,0.377,0.542,0.327,0.732,0.13,0.257,0.119,0.159,0.238,0.139,0.15,0.481,0.508,0.373,0.138,0.432,5574809
1627936,Alex Caruso,SG,0.5,0.843,0.757,0.627,0.408,0.76,0.196,0.297,0.321,0.318,0.81,0.278,0.291,0.606,0.56,0.434,0.325,0.456,9460000
1641788,Alex Fudge,SF,0.05,0.06,0.168,0.535,0.2,1.0,0.152,0.02,0.0,0.068,0.238,0.0,0.072,0.301,0.462,0.327,0.138,0.394,
203458,Alex Len,C,0.55,0.566,0.238,0.826,0.0,0.588,0.217,0.168,0.092,0.136,0.095,0.194,0.072,0.741,0.578,0.402,0.154,0.459,2019706
1631214,Alondes Williams,SG,0.25,0.072,0.048,0.335,0.0,1.0,0.0,0.01,0.0,0.068,0.0,0.028,0.02,0.468,0.182,0.078,0.13,0.159,
1630578,Alperen Sengun,C,0.1,0.747,0.858,0.719,0.297,0.693,0.63,0.634,0.459,0.591,0.571,0.194,0.608,0.639,0.598,0.467,0.423,0.556,3536280
1641735,Amari Bailey,PG,0.0,0.108,0.163,0.446,0.125,0.857,0.13,0.03,0.064,0.091,0.143,0.0,0.066,0.625,0.433,0.284,0.13,0.393,
1641708,Amen Thompson,SF,0.1,0.735,0.588,0.718,0.138,0.684,0.522,0.416,0.239,0.341,0.619,0.167,0.274,0.634,0.587,0.424,0.244,0.505,8809320
1629599,Amir Coffey,SF,0.35,0.831,0.548,0.632,0.38,0.859,0.087,0.168,0.101,0.114,0.286,0.056,0.19,0.542,0.535,0.369,0.13,0.397,3666667
203083,Andre Drummond,C,0.55,0.94,0.447,0.744,0.0,0.592,0.739,0.554,0.046,0.227,0.429,0.167,0.242,0.616,0.608,0.401,0.195,0.569,3360000
1641748,Andre Jackson Jr.,SG,0.15,0.675,0.257,0.669,0.37,0.727,0.174,0.119,0.083,0.114,0.143,0.028,0.063,0.528,0.533,0.35,0.122,0.377,1119563
1641847,Andrew Funk,SG,0.25,0.048,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.056,0.0,0.639,0.266,0.2,0.138,0.198,
1629614,Andrew Nembhard,PG,0.25,0.807,0.658,0.667,0.357,0.804,0.109,0.149,0.376,0.341,0.429,0.028,0.265,0.648,0.514,0.369,0.13,0.414,2131905
203952,Andrew Wiggins,SF,0.45,0.843,0.711,0.606,0.358,0.751,0.326,0.297,0.156,0.273,0.286,0.167,0.38,0.565,0.524,0.365,0.114,0.432,24330357
1629014,Anfernee Simons,SG,0.25,0.542,0.909,0.576,0.385,0.916,0.109,0.317,0.505,0.614,0.238,0.028,0.651,0.269,0.522,0.402,0.203,0.475,24107143
1641710,Anthony Black,PG,0.05,0.819,0.441,0.624,0.394,0.613,0.109,0.149,0.119,0.182,0.238,0.083,0.133,0.579,0.522,0.358,0.114,0.375,7245480
203076,Anthony Davis,C,0.55,0.904,0.939,0.744,0.271,0.816,0.674,0.941,0.321,0.477,0.571,0.639,0.712,0.694,0.636,0.47,0.537,0.606,40600080
1630162,Anthony Edwards,SG,0.15,0.94,0.928,0.617,0.357,0.836,0.152,0.475,0.468,0.705,0.619,0.139,0.746,0.856,0.572,0.445,0.439,0.525,13534817
1630264,Anthony Gill,PF,0.6,0.59,0.238,0.628,0.244,0.806,0.152,0.109,0.064,0.114,0.143,0.056,0.11,0.606,0.498,0.343,0.114,0.424,1997238
1629717,Armoni Brooks,PG,0.3,0.108,0.267,0.436,0.344,0.5,0.152,0.109,0.046,0.068,0.048,0.028,0.121,0.731,0.454,0.319,0.13,0.374,
1630204,Ashton Hagans,PG,0.25,0.217,0.433,0.546,0.32,0.824,0.152,0.158,0.257,0.364,0.286,0.139,0.121,0.593,0.473,0.351,0.13,0.377,103550
1641709,Ausar Thompson,SF,0.1,0.747,0.66,0.647,0.186,0.597,0.435,0.426,0.174,0.295,0.524,0.25,0.254,0.431,0.51,0.369,0.13,0.434,7977480
1630559,Austin Reaves,SG,0.3,0.976,0.848,0.651,0.367,0.853,0.152,0.356,0.505,0.477,0.381,0.083,0.458,0.579,0.554,0.405,0.268,0.469,12015150
1630245,Ayo Dosunmu,SG,0.25,0.904,0.767,0.671,0.403,0.81,0.152,0.208,0.294,0.318,0.429,0.139,0.352,0.505,0.539,0.388,0.195,0.442,6481482
1628389,Bam Adebayo,C,0.35,0.843,0.898,0.697,0.357,0.755,0.478,0.802,0.358,0.523,0.524,0.25,0.556,0.634,0.583,0.433,0.358,0.527,32600060
1641767,Ben Sheppard,SG,0.15,0.675,0.372,0.526,0.314,0.885,0.065,0.129,0.083,0.068,0.286,0.0,0.127,0.657,0.505,0.352,0.114,0.371,2537160
1627732,Ben Simmons,PG,0.4,0.169,0.628,0.778,0.0,0.4,0.457,0.584,0.523,0.409,0.381,0.167,0.176,0.486,0.574,0.433,0.171,0.48,37893408
1631097,Bennedict Mathurin,SF,0.1,0.699,0.687,0.597,0.374,0.821,0.217,0.287,0.183,0.364,0.286,0.056,0.418,0.528,0.504,0.352,0.089,0.436,6916080
1641731,Bilal Coulibaly,SF,0.0,0.747,0.717,0.582,0.346,0.702,0.196,0.317,0.156,0.318,0.429,0.222,0.242,0.292,0.478,0.341,0.065,0.382,6614280
202687,Bismack Biyombo,C,0.6,0.47,0.519,0.756,0.0,0.481,0.348,0.366,0.119,0.25,0.143,0.25,0.127,0.528,0.521,0.352,0.114,0.395,5754488
1631104,Blake Wesley,SG,0.05,0.723,0.374,0.635,0.218,0.667,0.065,0.119,0.248,0.205,0.238,0.028,0.127,0.491,0.508,0.344,0.106,0.398,2504640
1626246,Boban Marjanovic,C,0.8,0.157,0.126,0.708,0.0,0.643,0.109,0.178,0.037,0.091,0.048,0.028,0.092,0.537,0.57,0.395,0.138,0.544,2019706
1626171,Bobby Portis,PF,0.45,0.976,0.644,0.68,0.407,0.79,0.37,0.564,0.119,0.25,0.381,0.111,0.398,0.597,0.558,0.388,0.187,0.496,11710818
203992,Bogdan Bogdanovic,SG,0.6,0.94,0.802,0.573,0.374,0.921,0.152,0.277,0.284,0.318,0.571,0.083,0.487,0.676,0.531,0.402,0.252,0.459,18700000
202711,Bojan Bogdanovic,SF,0.75,0.675,0.682,0.608,0.398,0.785,0.087,0.228,0.156,0.409,0.238,0.028,0.438,0.319,0.495,0.355,0.106,0.431,20000000
1629626,Bol Bol,PF,0.25,0.506,0.281,0.825,0.423,0.789,0.152,0.238,0.037,0.091,0.095,0.167,0.15,0.616,0.602,0.429,0.179,0.512,2019706
1630538,Bones Hyland,PG,0.2,0.434,0.38,0.517,0.326,0.783,0.022,0.139,0.229,0.273,0.333,0.028,0.199,0.519,0.47,0.35,0.122,0.407,2306400
203078,Bradley Beal,SG,0.55,0.627,0.88,0.687,0.43,0.813,0.217,0.337,0.459,0.568,0.476,0.139,0.524,0.694,0.554,0.405,0.228,0.48,46741590
1641764,Brandin Podziemski,SG,0.05,0.88,0.701,0.608,0.385,0.633,0.348,0.416,0.339,0.273,0.381,0.056,0.265,0.769,0.548,0.398,0.211,0.436,3352440
1630527,Brandon Boston Jr.,SF,0.15,0.373,0.278,0.541,0.269,0.697,0.13,0.099,0.037,0.182,0.143,0.083,0.15,0.44,0.436,0.275,0.089,0.379,1836096
1629634,Brandon Clarke,PF,0.4,0.06,0.588,0.748,0.167,0.143,0.478,0.317,0.138,0.114,0.381,0.278,0.326,0.542,0.554,0.413,0.146,0.515,12500000
1627742,Brandon Ingram,SF,0.35,0.759,0.869,0.659,0.355,0.801,0.152,0.436,0.523,0.568,0.381,0.167,0.599,0.727,0.562,0.416,0.276,0.505,33833400
1641706,Brandon Miller,SF,0.1,0.88,0.85,0.589,0.373,0.827,0.174,0.337,0.22,0.409,0.429,0.167,0.499,0.282,0.48,0.363,0.114,0.436,10880400
1630314,Brandon Williams,PG,0.25,0.193,0.166,0.495,0.2,0.647,0.043,0.05,0.092,0.091,0.048,0.028,0.092,0.444,0.433,0.323,0.13,0.387,
1630296,Braxton Key,SF,0.35,0.229,0.07,0.552,0.4,0.75,0.043,0.079,0.046,0.023,0.048,0.028,0.032,0.574,0.612,0.429,0.146,0.483,
1641729,Brice Sensabaugh,SF,0.05,0.373,0.479,0.522,0.296,0.902,0.109,0.267,0.156,0.341,0.19,0.056,0.216,0.352,0.449,0.323,0.098,0.378,2448600
201572,Brook Lopez,C,0.8,0.94,0.805,0.649,0.366,0.821,0.326,0.366,0.147,0.227,0.238,0.667,0.36,0.764,0.562,0.413,0.285,0.46,25000000
1628971,Bruce Brown,PG,0.4,0.795,0.733,0.64,0.323,0.824,0.174,0.337,0.266,0.295,0.429,0.083,0.311,0.444,0.514,0.354,0.089,0.418,22000000
1628981,Bruno Fernando,C,0.3,0.53,0.396,0.78,0.0,0.667,0.283,0.297,0.092,0.227,0.286,0.167,0.182,0.505,0.55,0.368,0.13,0.466,2581522
1631121,Bryce McGowens,SG,0.1,0.699,0.388,0.588,0.333,0.776,0.065,0.139,0.083,0.114,0.19,0.056,0.147,0.421,0.495,0.331,0.089,0.387,1719864
1631205,Buddy Boeheim,SF,0.25,0.108,0.214,0.415,0.32,0.8,0.065,0.069,0.028,0.0,0.0,0.028,0.098,0.699,0.506,0.351,0.138,0.385,
1627741,Buddy Hield,SF,0.6,1.0,0.676,0.584,0.386,0.881,0.152,0.248,0.257,0.273,0.381,0.139,0.349,0.639,0.53,0.405,0.244,0.44,19845098
203468,CJ McCollum,PG,0.65,0.783,0.864,0.614,0.429,0.827,0.13,0.366,0.422,0.386,0.429,0.167,0.576,0.741,0.574,0.442,0.366,0.501,35802469
1630595,Cade Cunningham,PG,0.15,0.735,0.885,0.601,0.355,0.869,0.109,0.376,0.688,0.773,0.429,0.111,0.654,0.343,0.501,0.404,0.236,0.491,11055360
1631216,Caleb Houstan,SF,0.1,0.699,0.358,0.519,0.373,0.808,0.109,0.089,0.046,0.068,0.143,0.028,0.124,0.579,0.539,0.373,0.138,0.374,2000000
1628997,Caleb Martin,SF,0.45,0.759,0.722,0.577,0.349,0.778,0.261,0.317,0.202,0.273,0.333,0.139,0.288,0.648,0.521,0.372,0.138,0.407,6802950
1629629,Cam Reddish,SF,0.25,0.566,0.537,0.521,0.336,0.759,0.13,0.149,0.092,0.136,0.476,0.083,0.156,0.556,0.492,0.355,0.114,0.366,2165000
1630560,Cam Thomas,SG,0.15,0.783,0.829,0.592,0.364,0.856,0.087,0.277,0.266,0.432,0.333,0.056,0.648,0.463,0.514,0.383,0.171,0.477,2240160
1641715,Cam Whitmore,SF,0.0,0.554,0.489,0.608,0.359,0.679,0.196,0.287,0.064,0.227,0.286,0.111,0.354,0.574,0.534,0.401,0.179,0.484,3218160
1629661,Cameron Johnson,PF,0.4,0.687,0.727,0.597,0.391,0.789,0.196,0.337,0.22,0.227,0.381,0.083,0.386,0.542,0.548,0.405,0.22,0.456,25679348
1626166,Cameron Payne,PG,0.5,0.928,0.436,0.578,0.39,0.866,0.065,0.119,0.239,0.182,0.238,0.028,0.213,0.597,0.539,0.384,0.163,0.434,8519706
1627747,Caris LeVert,SG,0.5,0.807,0.759,0.564,0.325,0.766,0.13,0.347,0.468,0.386,0.524,0.139,0.403,0.685,0.538,0.402,0.228,0.458,15384616
1641717,Cason Wallace,SG,0.05,0.976,0.54,0.657,0.419,0.784,0.13,0.158,0.138,0.114,0.429,0.139,0.196,0.671,0.56,0.401,0.211,0.423,5291400
1626224,Cedi Osman,SF,0.45,0.855,0.46,0.641,0.389,0.673,0.065,0.218,0.156,0.159,0.238,0.056,0.196,0.375,0.525,0.37,0.138,0.412,6718842
1629646,Charles Bassey,C,0.2,0.217,0.278,0.971,0.0,0.833,0.261,0.277,0.101,0.182,0.19,0.25,0.095,0.491,0.594,0.417,0.154,0.499,2600000
1629718,Charlie Brown Jr.,SG,0.35,0.084,0.115,0.268,0.286,0.0,0.022,0.01,0.0,0.068,0.0,0.083,0.023,0.565,0.369,0.211,0.13,0.221,
1631096,Chet Holmgren,C,0.1,0.976,0.775,0.71,0.37,0.793,0.348,0.624,0.22,0.364,0.286,0.639,0.476,0.843,0.61,0.447,0.407,0.534,10386000
1629002,Chimezie Metu,C,0.35,0.602,0.439,0.675,0.298,0.906,0.174,0.297,0.083,0.227,0.381,0.083,0.187,0.505,0.536,0.381,0.154,0.44,2351562
1628449,Chris Boucher,PF,0.6,0.59,0.366,0.679,0.33,0.772,0.261,0.287,0.046,0.136,0.143,0.139,0.184,0.63,0.563,0.376,0.146,0.476,11750000
1630537,Chris Duarte,SF,0.35,0.699,0.316,0.51,0.346,0.788,0.087,0.139,0.064,0.091,0.238,0.028,0.112,0.551,0.506,0.352,0.122,0.375,4124400
1641753,Chris Livingston,SF,0.05,0.241,0.104,0.669,0.2,0.75,0.022,0.089,0.018,0.045,0.048,0.0,0.035,0.542,0.49,0.288,0.13,0.355,1119563
101108,Chris Paul,PG,0.95,0.687,0.695,0.59,0.371,0.827,0.065,0.356,0.624,0.295,0.571,0.028,0.265,0.69,0.577,0.413,0.236,0.459,30800000
1631128,Christian Braun,SG,0.15,0.976,0.529,0.616,0.384,0.694,0.217,0.277,0.147,0.159,0.238,0.111,0.21,0.593,0.548,0.373,0.138,0.424,2949120
1626174,Christian Wood,PF,0.45,0.59,0.455,0.624,0.307,0.702,0.174,0.426,0.092,0.227,0.143,0.194,0.199,0.606,0.519,0.361,0.122,0.427,2709849
1629643,Chuma Okeke,SF,0.3,0.554,0.235,0.478,0.28,0.571,0.087,0.129,0.037,0.068,0.095,0.028,0.066,0.532,0.491,0.352,0.122,0.355,5266713
203991,Clint Capela,C,0.5,0.867,0.679,0.764,0.0,0.631,1.0,0.594,0.11,0.227,0.286,0.417,0.331,0.593,0.597,0.401,0.22,0.538,20616000
1629632,Coby White,PG,0.2,0.94,0.965,0.598,0.376,0.838,0.13,0.396,0.468,0.477,0.333,0.056,0.55,0.583,0.53,0.39,0.211,0.456,11111111
1628998,Cody Martin,SF,0.45,0.325,0.709,0.51,0.314,0.606,0.152,0.317,0.339,0.364,0.524,0.167,0.216,0.343,0.458,0.351,0.114,0.386,7560000
203469,Cody Zeller,C,0.6,0.506,0.187,0.561,0.333,0.605,0.239,0.149,0.083,0.091,0.095,0.028,0.052,0.653,0.567,0.363,0.138,0.434,2019706
1641732,Colby Jones,SG,0.1,0.349,0.16,0.527,0.091,0.545,0.13,0.079,0.064,0.068,0.095,0.056,0.061,0.616,0.474,0.33,0.13,0.382,2019706
1630175,Cole Anthony,PG,0.2,0.964,0.588,0.582,0.338,0.826,0.174,0.297,0.266,0.364,0.381,0.139,0.334,0.667,0.545,0.401,0.22,0.458,5539771
1631306,Cole Swider,SF,0.25,0.205,0.118,0.529,0.333,1.0,0.022,0.03,0.028,0.091,0.048,0.028,0.066,0.551,0.428,0.337,0.13,0.358,
1630658,Colin Castleton,C,0.2,0.181,0.088,0.754,0.0,1.0,0.087,0.04,0.018,0.045,0.048,0.0,0.043,0.472,0.57,0.327,0.138,0.436,
1631221,Collin Gillespie,PG,0.25,0.277,0.241,0.621,0.395,0.667,0.0,0.079,0.101,0.136,0.238,0.0,0.104,0.63,0.529,0.362,0.138,0.41,
1629012,Collin Sexton,SG,0.3,0.928,0.701,0.652,0.394,0.859,0.196,0.168,0.45,0.477,0.381,0.056,0.539,0.519,0.57,0.426,0.301,0.528,17325000
1630557,Corey Kispert,SF,0.25,0.952,0.679,0.651,0.383,0.726,0.087,0.238,0.183,0.273,0.238,0.056,0.386,0.343,0.506,0.37,0.13,0.434,3722040
202709,Cory Joseph,PG,0.65,0.301,0.294,0.481,0.31,0.571,0.043,0.089,0.147,0.114,0.095,0.028,0.069,0.579,0.495,0.334,0.122,0.346,2019706
1641854,Craig Porter Jr.,PG,0.2,0.602,0.329,0.681,0.353,0.732,0.087,0.168,0.211,0.205,0.19,0.083,0.161,0.579,0.554,0.406,0.171,0.468,1500000
1626156,D'Angelo Russell,PG,0.4,0.904,0.864,0.61,0.415,0.828,0.087,0.267,0.578,0.477,0.429,0.139,0.519,0.713,0.547,0.412,0.285,0.476,17307693
1641793,D'Moi Hodge,SG,0.3,0.072,0.147,0.446,0.25,0.5,0.0,0.0,0.064,0.023,0.048,0.028,0.058,0.37,0.453,0.312,0.138,0.345,
1630618,D.J. Carton,SG,0.2,0.036,0.227,0.502,0.25,0.8,0.109,0.05,0.073,0.068,0.143,0.0,0.081,0.241,0.518,0.326,0.138,0.391,
1628391,D.J. Wilson,PF,0.4,0.012,0.195,0.893,1.0,0.0,0.109,0.05,0.092,0.0,0.0,0.278,0.144,0.648,0.752,0.71,0.146,0.683,
1629610,DaQuan Jeffries,SG,0.35,0.193,0.061,0.473,0.2,0.0,0.0,0.03,0.028,0.045,0.0,0.028,0.023,0.574,0.398,0.287,0.13,0.305,1324828
1630227,Daishen Nix,PG,0.1,0.169,0.078,0.502,0.353,0.5,0.022,0.01,0.037,0.068,0.143,0.0,0.052,0.69,0.479,0.38,0.138,0.427,
1630625,Dalano Banton,PG,0.25,0.639,0.508,0.541,0.296,0.783,0.174,0.248,0.22,0.318,0.286,0.111,0.297,0.412,0.487,0.381,0.154,0.44,2019706
1631207,Dalen Terry,SG,0.1,0.699,0.297,0.588,0.23,0.581,0.109,0.139,0.128,0.114,0.238,0.083,0.089,0.63,0.516,0.368,0.138,0.399,3350760
1627745,Damian Jones,C,0.45,0.458,0.174,0.799,0.214,0.857,0.109,0.109,0.037,0.068,0.095,0.083,0.078,0.495,0.588,0.393,0.146,0.473,2586665
203081,Damian Lillard,PG,0.7,0.867,0.933,0.568,0.354,0.92,0.109,0.386,0.642,0.591,0.476,0.056,0.7,0.847,0.582,0.429,0.358,0.524,45640084
1629655,Daniel Gafford,C,0.3,0.88,0.644,0.971,0.0,0.674,0.565,0.495,0.147,0.227,0.429,0.583,0.317,0.537,0.632,0.436,0.309,0.552,12402000
1628464,Daniel Theis,C,0.6,0.711,0.441,0.712,0.366,0.76,0.304,0.267,0.092,0.159,0.19,0.25,0.182,0.648,0.563,0.377,0.146,0.455,8670002
201568,Danilo Gallinari,PF,0.8,0.578,0.332,0.585,0.323,0.857,0.087,0.178,0.101,0.114,0.143,0.028,0.164,0.509,0.546,0.373,0.138,0.442,7464578
201980,Danny Green,SG,0.85,0.012,0.235,0.0,0.0,0.0,0.0,0.099,0.046,0.0,0.238,0.0,0.0,0.602,0.44,0.308,0.138,0.273,200000
203957,Dante Exum,PG,0.45,0.651,0.519,0.714,0.491,0.779,0.109,0.228,0.266,0.205,0.19,0.028,0.225,0.801,0.57,0.391,0.171,0.446,3000000
1627863,Danuel House Jr.,SF,0.55,0.398,0.39,0.6,0.3,0.761,0.109,0.119,0.073,0.136,0.19,0.028,0.121,0.63,0.521,0.344,0.114,0.377,4310250
1641727,Dariq Whitehead,SF,0.0,0.012,0.31,0.268,0.0,0.5,0.0,0.198,0.138,0.0,0.0,0.139,0.043,0.093,0.444,0.29,0.138,0.329,2966040
1629647,Darius Bazley,PF,0.2,0.096,0.441,0.803,0.25,0.833,0.196,0.218,0.073,0.205,0.333,0.222,0.153,0.431,0.535,0.394,0.146,0.448,616075
1629636,Darius Garland,PG,0.25,0.675,0.88,0.597,0.371,0.834,0.109,0.208,0.596,0.705,0.619,0.028,0.519,0.694,0.522,0.386,0.179,0.456,34005250
1630561,David Duke Jr.,SG,0.25,0.036,0.332,0.744,0.5,1.0,0.109,0.198,0.119,0.182,0.238,0.0,0.187,0.671,0.563,0.419,0.138,0.479,
1631223,David Roddy,PF,0.15,0.771,0.473,0.539,0.293,0.691,0.174,0.238,0.11,0.205,0.19,0.056,0.187,0.44,0.471,0.33,0.065,0.379,2718240
1630558,Davion Mitchell,PG,0.3,0.855,0.398,0.605,0.361,0.714,0.065,0.109,0.174,0.136,0.095,0.0,0.153,0.574,0.515,0.352,0.106,0.387,5063640
1630549,Day'Ron Sharpe,C,0.15,0.723,0.393,0.764,0.267,0.61,0.565,0.366,0.128,0.25,0.19,0.194,0.196,0.648,0.59,0.399,0.179,0.529,2210040
1628368,De'Aaron Fox,PG,0.35,0.88,0.949,0.622,0.369,0.738,0.196,0.366,0.514,0.591,0.952,0.111,0.767,0.745,0.562,0.437,0.398,0.531,32600060
1629631,De'Andre Hunter,SF,0.35,0.675,0.778,0.614,0.385,0.847,0.109,0.337,0.138,0.341,0.333,0.083,0.45,0.56,0.518,0.366,0.122,0.432,20089286
1629001,De'Anthony Melton,SG,0.3,0.446,0.709,0.517,0.36,0.835,0.152,0.297,0.275,0.227,0.762,0.111,0.32,0.866,0.547,0.406,0.195,0.442,8000000
201599,DeAndre Jordan,C,0.8,0.422,0.283,0.835,0.0,0.491,0.326,0.287,0.064,0.136,0.095,0.111,0.112,0.491,0.586,0.376,0.138,0.476,2019706
1630610,DeJon Jarreau,SG,0.35,0.096,0.433,0.455,0.308,0.455,0.196,0.396,0.266,0.227,0.333,0.056,0.138,0.477,0.47,0.344,0.13,0.391,
201942,DeMar DeRozan,SF,0.75,0.94,1.0,0.643,0.333,0.853,0.109,0.376,0.486,0.386,0.524,0.167,0.692,0.565,0.586,0.424,0.366,0.525,28600000
1629731,Dean Wade,PF,0.4,0.639,0.537,0.554,0.391,0.769,0.152,0.337,0.073,0.091,0.333,0.139,0.156,0.755,0.556,0.401,0.187,0.399,5709877
1629028,Deandre Ayton,C,0.3,0.651,0.856,0.763,0.1,0.823,0.696,0.782,0.147,0.409,0.476,0.222,0.481,0.333,0.553,0.404,0.22,0.515,32459438
1627749,Dejounte Murray,SG,0.4,0.928,0.944,0.614,0.363,0.794,0.174,0.446,0.587,0.591,0.667,0.083,0.648,0.509,0.535,0.423,0.35,0.499,18214000
1626153,Delon Wright,PG,0.6,0.554,0.412,0.527,0.368,0.822,0.087,0.139,0.229,0.068,0.524,0.056,0.13,0.616,0.555,0.405,0.179,0.444,8856750
1630166,Deni Avdija,SF,0.2,0.892,0.794,0.677,0.374,0.74,0.239,0.604,0.349,0.477,0.381,0.139,0.424,0.398,0.522,0.387,0.187,0.462,6263188
203471,Dennis Schroder,PG,0.55,0.952,0.821,0.582,0.375,0.836,0.109,0.248,0.56,0.432,0.381,0.056,0.403,0.528,0.518,0.374,0.146,0.44,12405000
1628372,Dennis Smith Jr.,PG,0.35,0.663,0.495,0.582,0.294,0.741,0.196,0.198,0.33,0.273,0.571,0.056,0.19,0.574,0.532,0.388,0.163,0.442,2019706
1641726,Dereck Lively II,C,0.0,0.651,0.618,1.0,0.0,0.506,0.543,0.436,0.101,0.205,0.333,0.389,0.254,0.722,0.614,0.406,0.203,0.504,4775640
1631220,Dereon Seabron,SG,0.2,0.06,0.235,0.412,0.5,0.833,0.043,0.099,0.073,0.0,0.143,0.056,0.066,0.819,0.538,0.379,0.138,0.386,
1627884,Derrick Jones Jr.,SF,0.35,0.904,0.618,0.647,0.343,0.713,0.239,0.218,0.092,0.205,0.333,0.194,0.248,0.634,0.534,0.379,0.154,0.419,5379706
201565,Derrick Rose,PG,0.8,0.277,0.433,0.617,0.366,0.889,0.065,0.158,0.303,0.295,0.143,0.028,0.231,0.537,0.505,0.361,0.13,0.438,3196448
1628401,Derrick White,SG,0.5,0.867,0.861,0.617,0.396,0.901,0.152,0.347,0.477,0.341,0.476,0.333,0.438,0.995,0.605,0.452,0.423,0.488,18357143
1630217,Desmond Bane,SG,0.3,0.494,0.909,0.621,0.381,0.87,0.196,0.347,0.505,0.614,0.476,0.139,0.683,0.38,0.55,0.438,0.276,0.509,3845083
1626164,Devin Booker,PG,0.4,0.807,0.952,0.659,0.364,0.886,0.174,0.366,0.633,0.591,0.429,0.111,0.781,0.815,0.613,0.441,0.39,0.554,36016200
1630170,Devin Vassell,SG,0.2,0.807,0.874,0.632,0.372,0.801,0.087,0.337,0.376,0.364,0.524,0.083,0.562,0.403,0.53,0.399,0.228,0.472,5887899
1628984,Devonte' Graham,PG,0.45,0.265,0.353,0.471,0.301,0.813,0.043,0.129,0.193,0.159,0.19,0.028,0.144,0.648,0.482,0.345,0.13,0.389,12100000
1641926,Dexter Dennis,SG,0.25,0.036,0.19,0.704,0.125,0.333,0.065,0.198,0.092,0.182,0.0,0.083,0.159,0.495,0.471,0.423,0.138,0.507,
1628415,Dillon Brooks,SF,0.45,0.855,0.816,0.573,0.359,0.844,0.152,0.267,0.156,0.273,0.429,0.028,0.366,0.588,0.514,0.35,0.065,0.389,22627671
1631376,Dmytro Skapintsev,C,0.3,0.012,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.602,0.082,0.04,0.138,0.008,
1627734,Domantas Sabonis,C,0.4,0.976,0.944,0.795,0.379,0.704,0.783,1.0,0.752,0.75,0.429,0.167,0.559,0.639,0.633,0.49,0.642,0.572,30600000
1631230,Dominick Barlow,PF,0.05,0.386,0.329,0.664,0.333,0.69,0.304,0.208,0.101,0.068,0.19,0.111,0.127,0.556,0.569,0.376,0.138,0.458,455620
1628378,Donovan Mitchell,SG,0.4,0.651,0.933,0.618,0.368,0.865,0.174,0.426,0.56,0.636,0.857,0.139,0.767,0.875,0.595,0.48,0.455,0.557,33162030
1628978,Donte DiVincenzo,SG,0.4,0.964,0.767,0.593,0.401,0.754,0.174,0.287,0.248,0.318,0.619,0.111,0.447,0.694,0.576,0.447,0.398,0.476,10900000
1627827,Dorian Finney-Smith,PF,0.55,0.807,0.749,0.564,0.348,0.717,0.348,0.307,0.147,0.205,0.381,0.167,0.245,0.528,0.52,0.372,0.138,0.398,13932008
